y,proba
0,0.458520675
0,0.50503693
0,0.418651735
0,0.412057026
0,0.375578997
0,0.595386768
0,0.37028771
0,0.299272798
0,0.296999841
0,0.266478624
0,0.43348444
0,0.324170116
0,0.346278897
0,0.464072901
0,0.458491907
0,0.522348167
0,0.435908643
0,0.26426648
0,0.298223127
0,0.109529162
0,0.344210225
0,0.380329077
0,0.237708896
0,0.305236141
0,0.246049286
0,0.21402404
0,0.333012885
0,0.336188067
0,0.467982156
0,0.334174089
0,0.443905544
0,0.396029024
0,0.408122326
0,0.40981444
0,0.164049673
0,0.241982684
0,0.241471216
0,0.330995534
0,0.454723137
0,0.474625435
0,0.179507672
0,0.397045988
0,0.309874044
0,0.376888641
0,0.374239991
0,0.357775778
0,0.609211732
0,0.59597247
0,0.539593713
0,0.223107725
0,0.251234697
0,0.328102563
0,0.288652358
0,0.164931196
0,0.32368804
0,0.165049909
0,0.139430771
0,0.423638951
0,0.141673157
0,0.119091472
0,0.238935522
0,0.288605378
0,0.21260607
0,0.342726238
0,0.122297988
0,0.279983514
0,0.205648006
0,0.134671093
0,0.221794462
0,0.49629087
0,0.198825167
0,0.199921581
0,0.242124446
0,0.131027528
0,0.586076815
0,0.181154537
0,0.261844667
0,0.158917055
0,0.310619321
0,0.173742239
0,0.171541618
0,0.463698072
0,0.17086735
0,0.201546076
0,0.318272994
0,0.124869486
0,0.41880065
0,0.146842976
0,0.13939239
0,0.272962248
0,0.147929127
0,0.083508192
0,0.090456396
0,0.202624475
0,0.168243164
0,0.13084291
0,0.161170862
0,0.315112275
0,0.178212042
0,0.096924566
0,0.374352188
0,0.083007062
0,0.18603116
0,0.24991044
0,0.387993838
0,0.634740885
0,0.166129623
0,0.301539357
0,0.109837862
0,0.248736327
0,0.277860196
0,0.122504898
0,0.31164731
0,0.227431137
0,0.085507093
0,0.375395257
0,0.407274425
0,0.283851864
0,0.221862043
0,0.382378984
0,0.180744919
0,0.302118791
0,0.107069344
0,0.527302955
0,0.589824646
0,0.2276818
0,0.263110245
0,0.134013091
0,0.358207457
0,0.313358435
0,0.362578633
0,0.186302655
0,0.103311401
0,0.066662486
0,0.178609617
0,0.183739068
0,0.235018355
0,0.154742295
0,0.221155642
0,0.197639543
0,0.06814094
0,0.289429686
0,0.121713345
0,0.32152772
0,0.140852016
0,0.081280217
0,0.240341572
0,0.098754529
0,0.080444317
0,0.108981572
0,0.12098242
0,0.082076724
0,0.165829828
0,0.345607854
0,0.149961621
0,0.68652478
0,0.69661789
0,0.263927958
0,0.236177892
0,0.629724201
0,0.214080703
0,0.125047846
0,0.23321628
0,0.643020552
0,0.150976843
0,0.265788086
0,0.074976209
0,0.070314739
0,0.17896701
0,0.097528525
0,0.118252993
0,0.249901819
0,0.24281675
0,0.232775693
0,0.082756683
0,0.27124915
0,0.500830563
0,0.328025134
0,0.208918847
0,0.38347935
0,0.2612742
0,0.124939572
0,0.262163045
0,0.111180213
0,0.292726925
0,0.410420982
0,0.45095996
0,0.291421268
0,0.041838536
0,0.217356508
0,0.279229403
0,0.222883787
0,0.261753646
0,0.169782732
0,0.576558527
0,0.257600301
0,0.156193245
0,0.134216586
0,0.395925247
0,0.260718218
0,0.232884885
0,0.219167881
0,0.186692948
0,0.125521091
0,0.298937312
0,0.277874953
0,0.243687573
